Year,Transect_no,Control,Date,Birds_present,Part_of_transect,Dostance_cat,No_singing_males
2011,TBB17,2,2/06/2011,yes,1,1,1
2011,TBB17,2,2/06/2011,yes,1,2,1
2011,TBB17,2,2/06/2011,yes,2,1,1
2011,TBB17,2,2/06/2011,yes,2,2,2
2011,TBB17,2,2/06/2011,yes,3,2,1
2011,TBB17,2,2/06/2011,yes,4,3,1
2011,TBB17,2,2/06/2011,yes,5,3,1
2011,TBB17,3,3/06/2011,yes,1,1,1
2011,TBB17,3,3/06/2011,yes,1,2,1
2011,TBB17,3,3/06/2011,yes,1,3,1
2011,TBB17,3,3/06/2011,yes,2,2,2
2011,TBB17,3,3/06/2011,yes,2,3,1
2011,TBB17,3,3/06/2011,yes,3,3,2
2011,TBB17,3,3/06/2011,no,4,,0
2011,TBB17,3,3/06/2011,yes,5,2,1
2011,TBB18,1,28/05/2011,yes,1,2,2
2011,TBB18,1,28/05/2011,yes,1,3,1
2011,TBB18,1,28/05/2011,yes,2,3,2
2011,TBB18,1,28/05/2011,yes,3,2,4
2011,TBB18,1,28/05/2011,yes,4,3,1
2011,TBB18,1,28/05/2011,no,5,,0
2011,TBB18,2,30/05/2011,yes,1,3,2
2011,TBB18,2,30/05/2011,no,2,,0
2011,TBB18,2,30/05/2011,yes,3,2,2
2011,TBB18,2,30/05/2011,no,4,,0
2011,TBB18,2,30/05/2011,no,5,,0
2011,TBB18,3,31/05/2011,yes,1,3,1
2011,TBB18,3,31/05/2011,yes,2,3,1
2011,TBB18,3,31/05/2011,yes,3,2,2
2011,TBB18,3,31/05/2011,yes,4,3,1
2011,TBB18,3,31/05/2011,no,5,,0
2011,TBB19,1,21/05/2011,yes,1,3,1
2011,TBB19,1,21/05/2011,no,2,,0
2011,TBB19,1,21/05/2011,no,3,,0
2011,TBB19,1,21/05/2011,yes,4,2,1
2011,TBB19,1,21/05/2011,yes,4,3,1
2011,TBB19,1,21/05/2011,yes,5,2,1
2011,TBB19,1,21/05/2011,yes,5,3,1
2011,TBB19,2,22/05/2011,yes,1,3,1
2011,TBB19,2,22/05/2011,no,2,,0
2011,TBB19,2,22/05/2011,yes,3,2,1
2011,TBB19,2,22/05/2011,yes,4,2,1
2011,TBB19,2,22/05/2011,yes,4,3,1
2011,TBB19,2,22/05/2011,yes,5,3,1
2011,TBB19,3,23/05/2011,no,1,,0
2011,TBB19,3,23/05/2011,yes,2,2,1
2011,TBB19,3,23/05/2011,no,3,,0
2011,TBB19,3,23/05/2011,yes,4,2,1
2011,TBB19,3,23/05/2011,yes,4,3,1
2011,TBB19,3,23/05/2011,no,5,,0
2011,TBB20,1,7/06/2011,yes,1,3,2
2011,TBB20,1,7/06/2011,yes,2,2,2
2011,TBB20,1,7/06/2011,yes,2,3,1
2011,TBB20,1,7/06/2011,yes,3,2,2
2011,TBB20,1,7/06/2011,yes,4,1,1
2011,TBB20,1,7/06/2011,yes,4,2,1
2011,TBB20,1,7/06/2011,yes,4,3,1
2011,TBB20,1,7/06/2011,yes,5,2,4
2011,TBB20,1,7/06/2011,yes,5,3,3
2011,TBB20,2,9/06/2011,yes,1,2,1
2011,TBB20,2,9/06/2011,yes,1,3,1
2011,TBB20,2,9/06/2011,yes,2,2,1
2011,TBB20,2,9/06/2011,yes,2,3,1
2011,TBB20,2,9/06/2011,yes,3,2,1
2011,TBB20,2,9/06/2011,yes,3,3,2
2011,TBB20,2,9/06/2011,yes,4,3,3
2011,TBB20,2,9/06/2011,yes,5,2,3
2011,TBB20,2,9/06/2011,yes,5,3,3
2011,TBB20,3,13/06/2011,yes,1,2,1
2011,TBB20,3,13/06/2011,yes,1,3,1
2011,TBB20,3,13/06/2011,yes,2,2,1
2011,TBB20,3,13/06/2011,yes,2,3,1
2011,TBB20,3,13/06/2011,yes,3,3,3
2011,TBB20,3,13/06/2011,yes,4,2,1
2011,TBB20,3,13/06/2011,yes,4,3,2
2011,TBB20,3,13/06/2011,yes,5,3,3
2011,TBB21,1,1/06/2011,yes,1,1,1
2011,TBB21,1,1/06/2011,yes,1,2,2
2011,TBB21,1,1/06/2011,no,2,,0
2011,TBB21,1,1/06/2011,no,3,,0
2011,TBB21,1,1/06/2011,no,4,,0
2011,TBB21,1,1/06/2011,no,5,,0
2011,TBB21,2,2/06/2011,yes,1,3,1
2011,TBB21,2,2/06/2011,no,2,,0
2011,TBB21,2,2/06/2011,no,3,,0
2011,TBB21,2,2/06/2011,no,4,,0
2011,TBB21,2,2/06/2011,no,5,,0
2011,TBB21,3,3/06/2011,no,1,,0
2011,TBB21,3,3/06/2011,no,2,,0
2011,TBB21,3,3/06/2011,no,3,,0
2011,TBB21,3,3/06/2011,no,4,,0
2011,TBB21,3,3/06/2011,no,5,,0
2011,TBB22,1,2/06/2011,yes,1,2,1
2011,TBB22,1,2/06/2011,yes,1,3,2
2011,TBB22,1,2/06/2011,yes,2,2,1
