parm,mean,sd,lcl,25%,median,75%,ucl,Rhat,n.eff,overlap0,f,parm
"db[4,5]",0.250238931,0.069878659,0.112501963,0.203451121,0.250386427,0.297229551,0.387636195,1.000046139,27863,0,1,"db[4,5]"
"db[5,5]",0.250310481,0.069473016,0.114097396,0.203416737,0.250089974,0.297062285,0.386188634,1.000012885,40000,0,1,"db[5,5]"
"db[6,5]",0.249995402,0.069646302,0.113348355,0.202837835,0.249575232,0.296842439,0.387601427,0.99999677,40000,0,1,"db[6,5]"
"db[7,5]",0.249936313,0.069792341,0.112576987,0.202358122,0.249754999,0.2972694,0.385317592,0.999965603,40000,0,1,"db[7,5]"
"db[8,5]",0.25019973,0.069909506,0.112375313,0.203459767,0.250008967,0.297023613,0.388310638,1.000057022,28368,0,1,"db[8,5]"
"db[9,5]",0.249590909,0.069489398,0.114362546,0.202496683,0.249346285,0.2962941,0.386873201,1.000124246,17563,0,1,"db[9,5]"
"db[10,5]",0.25041604,0.069381531,0.115821469,0.203246046,0.250220072,0.29735343,0.386544255,1.000035325,40000,0,1,"db[10,5]"
"db[11,5]",0.250171169,0.069798448,0.1125967,0.203358031,0.250200664,0.297259854,0.387367296,1.000082085,23295,0,1,"db[11,5]"
"db[12,5]",0.250484994,0.070150516,0.111905337,0.203454399,0.250685709,0.297585594,0.386595684,0.999988681,40000,0,1,"db[12,5]"
"db[13,5]",0.249975655,0.06998621,0.112492187,0.202845897,0.249862601,0.297463405,0.387463786,1.000041573,34153,0,1,"db[13,5]"
"db[14,5]",0.249677465,0.06972694,0.112229037,0.202955115,0.249442114,0.296459761,0.386543728,1.000015161,40000,0,1,"db[14,5]"
"db[15,5]",0.249726644,0.069531847,0.113489195,0.202975729,0.249671815,0.296456223,0.385784301,1.000017257,40000,0,1,"db[15,5]"
"db[16,5]",0.250302642,0.070112469,0.111887409,0.202992056,0.250388443,0.29741926,0.388638884,0.999995035,40000,0,1,"db[16,5]"
"db[17,5]",0.250310355,0.069666227,0.114613318,0.203111434,0.249620033,0.29759012,0.38699103,1.000014356,40000,0,1,"db[17,5]"
"db[18,5]",0.250149008,0.07001434,0.112516785,0.203175096,0.249772281,0.297499587,0.387799032,1.000062883,40000,0,1,"db[18,5]"
"db[19,5]",0.25072603,0.0696781,0.113887491,0.204088103,0.250558817,0.29787485,0.387151948,0.999990876,40000,0,1,"db[19,5]"
"db[20,5]",0.250566765,0.0699796,0.11284352,0.203198808,0.251029123,0.297791791,0.387621132,0.999981489,40000,0,1,"db[20,5]"
"db[21,5]",0.250175608,0.070034598,0.112681869,0.202789806,0.250306102,0.296985051,0.387700209,1.000057866,40000,0,1,"db[21,5]"
