"mean","sd","lcl","25%","median","75%","ucl","Rhat","n.eff","overlap0","f","parm"
"Ntot[33,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[33,3]"
"Ntot[34,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[34,3]"
"Ntot[35,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[35,3]"
"Ntot[36,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[36,3]"
"Ntot[37,3]",133.229775,8.80196939985637,116,127,133,139,151,1.00008139960417,21785,0,1,"Ntot[37,3]"
"Ntot[38,3]",163.987454041781,12.8243949246475,139.736704930225,155.192474492578,163.603882087608,172.419960692227,189.96759774573,0.999993734139491,40000,0,1,"Ntot[38,3]"
"Ntot[1,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[1,4]"
"Ntot[2,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[2,4]"
"Ntot[3,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[3,4]"
"Ntot[4,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[4,4]"
"Ntot[5,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[5,4]"
"Ntot[6,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[6,4]"
"Ntot[7,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[7,4]"
"Ntot[8,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[8,4]"
"Ntot[9,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[9,4]"
"Ntot[10,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[10,4]"
"Ntot[11,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[11,4]"
"Ntot[12,4]",124.0931,8.21892153246269,108,118,124,130,141,1.00002551750746,35594,0,1,"Ntot[12,4]"
